# epoch | BaseLoss | ValLoss | Acc@1 | MeanWBits | MeanABits | MaxWBits | MaxABits | LR | EpochTime(s)
     0 | base=nan | val=0.213726 | acc1=0.9335 | Wμ=9.786 | Aμ=10.000 | Wmax=10.000 | Amax=10.000 |LR=nan | t=nans
     1 | base=0.003005 | val=0.236776 | acc1=0.9281 | Wμ=9.786 | Aμ=10.001 | Wmax=10.003 | Amax=9.995 |LR=0.000198 | t=8.99s
     3 | base=0.003526 | val=0.238701 | acc1=0.9278 | Wμ=9.786 | Aμ=10.004 | Wmax=10.006 | Amax=9.996 |LR=0.000398 | t=9.10s
     5 | base=0.004069 | val=0.239417 | acc1=0.9273 | Wμ=9.786 | Aμ=10.009 | Wmax=10.018 | Amax=10.000 |LR=0.000598 | t=9.02s
     7 | base=0.004285 | val=0.239333 | acc1=0.9262 | Wμ=9.788 | Aμ=10.019 | Wmax=10.025 | Amax=10.007 |LR=0.000798 | t=9.10s
     9 | base=0.007451 | val=0.240880 | acc1=0.9245 | Wμ=9.791 | Aμ=10.032 | Wmax=10.048 | Amax=10.022 |LR=0.000998 | t=9.08s
    11 | base=0.016919 | val=0.244863 | acc1=0.9241 | Wμ=9.794 | Aμ=10.049 | Wmax=10.062 | Amax=10.036 |LR=0.001198 | t=8.93s
    13 | base=0.029057 | val=0.254098 | acc1=0.9202 | Wμ=9.802 | Aμ=10.065 | Wmax=10.134 | Amax=10.061 |LR=0.001398 | t=9.05s
    15 | base=0.033420 | val=0.261132 | acc1=0.9174 | Wμ=9.814 | Aμ=10.077 | Wmax=10.162 | Amax=10.058 |LR=0.001598 | t=9.05s
    17 | base=0.035123 | val=0.268129 | acc1=0.9171 | Wμ=9.832 | Aμ=10.099 | Wmax=10.207 | Amax=10.095 |LR=0.001798 | t=9.02s
    19 | base=0.041051 | val=0.265548 | acc1=0.9175 | Wμ=9.846 | Aμ=10.112 | Wmax=10.292 | Amax=10.102 |LR=0.001998 | t=8.98s
    21 | base=0.047314 | val=0.261924 | acc1=0.9165 | Wμ=9.595 | Aμ=9.855 | Wmax=9.943 | Amax=10.054 |LR=0.002 | t=9.04s
    23 | base=0.042928 | val=0.269956 | acc1=0.9144 | Wμ=9.081 | Aμ=9.573 | Wmax=9.613 | Amax=9.946 |LR=0.002 | t=8.95s
    25 | base=0.035309 | val=0.273303 | acc1=0.9176 | Wμ=8.602 | Aμ=9.246 | Wmax=9.260 | Amax=9.860 |LR=0.002 | t=9.00s
    27 | base=0.042768 | val=0.268464 | acc1=0.9161 | Wμ=8.148 | Aμ=8.903 | Wmax=8.883 | Amax=9.777 |LR=0.002 | t=9.01s
    29 | base=0.030370 | val=0.252107 | acc1=0.9207 | Wμ=7.725 | Aμ=8.536 | Wmax=8.547 | Amax=9.619 |LR=0.002 | t=9.09s
    31 | base=0.036920 | val=0.259347 | acc1=0.9184 | Wμ=7.307 | Aμ=8.173 | Wmax=8.205 | Amax=9.413 |LR=0.002 | t=9.08s
    33 | base=0.041422 | val=0.260394 | acc1=0.9157 | Wμ=6.904 | Aμ=7.830 | Wmax=7.877 | Amax=9.205 |LR=0.002 | t=8.97s
    35 | base=0.038245 | val=0.258034 | acc1=0.9189 | Wμ=6.527 | Aμ=7.506 | Wmax=7.547 | Amax=8.933 |LR=0.002 | t=9.02s
    37 | base=0.046765 | val=0.262371 | acc1=0.9181 | Wμ=6.143 | Aμ=7.198 | Wmax=7.219 | Amax=8.658 |LR=0.002 | t=8.96s
    39 | base=0.059929 | val=0.257788 | acc1=0.9178 | Wμ=5.769 | Aμ=6.912 | Wmax=6.895 | Amax=8.414 |LR=0.002 | t=9.09s
    41 | base=0.071630 | val=0.267300 | acc1=0.9150 | Wμ=5.408 | Aμ=6.661 | Wmax=6.585 | Amax=8.200 |LR=0.002 | t=9.08s
    43 | base=0.055645 | val=0.270053 | acc1=0.9180 | Wμ=5.047 | Aμ=6.393 | Wmax=6.267 | Amax=8.000 |LR=0.002 | t=8.98s
    45 | base=0.084378 | val=0.277006 | acc1=0.9137 | Wμ=4.699 | Aμ=6.166 | Wmax=5.977 | Amax=7.762 |LR=0.002 | t=9.04s
    47 | base=0.081787 | val=0.289861 | acc1=0.9103 | Wμ=4.362 | Aμ=5.970 | Wmax=5.700 | Amax=7.615 |LR=0.002 | t=9.03s
    49 | base=0.092834 | val=0.292950 | acc1=0.9091 | Wμ=4.030 | Aμ=5.785 | Wmax=5.459 | Amax=7.375 |LR=0.002 | t=8.96s
    51 | base=0.094351 | val=0.300517 | acc1=0.9043 | Wμ=3.707 | Aμ=5.614 | Wmax=5.170 | Amax=7.170 |LR=0.002 | t=9.06s
    53 | base=0.098927 | val=0.323562 | acc1=0.9009 | Wμ=3.415 | Aμ=5.447 | Wmax=4.907 | Amax=7.022 |LR=0.002 | t=9.02s
    55 | base=0.124270 | val=0.324125 | acc1=0.8978 | Wμ=3.130 | Aμ=5.322 | Wmax=4.644 | Amax=6.858 |LR=0.002 | t=9.06s
    57 | base=0.138558 | val=0.340686 | acc1=0.8936 | Wμ=2.865 | Aμ=5.199 | Wmax=4.459 | Amax=6.741 |LR=0.002 | t=9.02s
    59 | base=0.125133 | val=0.359613 | acc1=0.8880 | Wμ=2.623 | Aμ=5.077 | Wmax=4.248 | Amax=6.539 |LR=0.002 | t=8.93s
    61 | base=0.152387 | val=0.402276 | acc1=0.8780 | Wμ=2.397 | Aμ=4.961 | Wmax=4.000 | Amax=6.375 |LR=0.002 | t=8.99s
    63 | base=0.199339 | val=0.372531 | acc1=0.8875 | Wμ=2.205 | Aμ=4.847 | Wmax=3.907 | Amax=6.190 |LR=0.002 | t=8.93s
    65 | base=0.178003 | val=0.377654 | acc1=0.8841 | Wμ=2.044 | Aμ=4.759 | Wmax=3.700 | Amax=6.044 |LR=0.002 | t=9.09s
    67 | base=0.263708 | val=0.467938 | acc1=0.8543 | Wμ=1.912 | Aμ=4.682 | Wmax=3.585 | Amax=5.907 |LR=0.002 | t=9.08s
    69 | base=0.228638 | val=0.522207 | acc1=0.8501 | Wμ=1.802 | Aμ=4.605 | Wmax=3.459 | Amax=5.807 |LR=0.002 | t=9.07s
    71 | base=0.285208 | val=0.557697 | acc1=0.8356 | Wμ=1.699 | Aμ=4.516 | Wmax=3.322 | Amax=5.728 |LR=0.002 | t=8.98s
    73 | base=0.289479 | val=0.438165 | acc1=0.8624 | Wμ=1.609 | Aμ=4.415 | Wmax=3.170 | Amax=5.644 |LR=0.002 | t=8.94s
    75 | base=0.364029 | val=0.720961 | acc1=0.7950 | Wμ=1.538 | Aμ=4.306 | Wmax=3.000 | Amax=5.524 |LR=0.002 | t=9.08s
    77 | base=0.407318 | val=0.568351 | acc1=0.8225 | Wμ=1.480 | Aμ=4.218 | Wmax=3.000 | Amax=5.392 |LR=0.002 | t=9.09s
    79 | base=0.405295 | val=1.788728 | acc1=0.5492 | Wμ=1.428 | Aμ=4.111 | Wmax=2.807 | Amax=5.248 |LR=0.002 | t=8.94s
    81 | base=0.402791 | val=0.771923 | acc1=0.7714 | Wμ=1.384 | Aμ=4.003 | Wmax=2.807 | Amax=5.087 |LR=0.002 | t=9.01s
    83 | base=0.444682 | val=0.910086 | acc1=0.7248 | Wμ=1.337 | Aμ=3.908 | Wmax=2.585 | Amax=5.000 |LR=0.002 | t=8.94s
    85 | base=0.486601 | val=1.863237 | acc1=0.5484 | Wμ=1.299 | Aμ=3.781 | Wmax=2.585 | Amax=4.858 |LR=0.002 | t=9.06s
    87 | base=0.530453 | val=1.002097 | acc1=0.7022 | Wμ=1.263 | Aμ=3.668 | Wmax=2.585 | Amax=4.644 |LR=0.002 | t=9.06s
    89 | base=0.483962 | val=0.992304 | acc1=0.7023 | Wμ=1.229 | Aμ=3.531 | Wmax=2.322 | Amax=4.459 |LR=0.002 | t=8.95s
    91 | base=0.574468 | val=0.687516 | acc1=0.7837 | Wμ=1.196 | Aμ=3.392 | Wmax=2.322 | Amax=4.248 |LR=0.002 | t=9.01s
    93 | base=0.472465 | val=1.244718 | acc1=0.6532 | Wμ=1.167 | Aμ=3.258 | Wmax=2.322 | Amax=4.087 |LR=0.002 | t=9.02s
    95 | base=0.537990 | val=0.999385 | acc1=0.7257 | Wμ=1.142 | Aμ=3.120 | Wmax=2.322 | Amax=3.907 |LR=0.002 | t=8.98s
    97 | base=0.533015 | val=0.623841 | acc1=0.8109 | Wμ=1.121 | Aμ=2.983 | Wmax=2.322 | Amax=3.700 |LR=0.002 | t=9.08s
